filename,latitude,longitude
1000269685_e60e9cdfb4_1125_78841376@N00.jpg,32.325436,-64.764404
1000304467_1a75a200b1_1296_78841376@N00.jpg,32.325436,-64.764404
1001048550_8e4b47d165_1051_78841376@N00.jpg,32.325436,-64.764404
1005977048_5ccf8b05d3_1201_91728102@N00.jpg,29.976052,122.390356
1008804117_ce4e6fef8a_1349_97522422@N00.jpg,46.478536,30.758714
1008845063_ace4ef829f_1204_97522422@N00.jpg,46.478536,30.758714
101220879_0a1be45b79_33_24311489@N00.jpg,42.249915,-87.82711
1014898753_ef4cfaa5d6_1354_96928198@N00.jpg,62.140088,6.074967
1019846234_5e471a10e2_1155_97522422@N00.jpg,42.197494,44.693069
1021054395_ca7cfe55b3_1061_7132415@N03.jpg,-0.400997,-90.704498
1023756068_20c3ffc329_1039_70323761@N00.jpg,40.807694,-73.962262
1029739337_ff06001d12_1361_7132415@N03.jpg,-0.292509,-90.532493
103385471_f54982a801_29_73293249@N00.jpg,46.006873,7.279987
103398485_db45794d93_36_73293249@N00.jpg,46.21488,7.049309
103404365_f852148f5b_34_73293249@N00.jpg,46.080783,7.399454
103433117_266c57c2e6_29_73293249@N00.jpg,46.167286,7.099698
103433770_9b651cfd20_32_73293249@N00.jpg,46.167286,7.099698
103442236_09c8d53dbc_37_73293249@N00.jpg,51.501821,-0.140655
103457638_224c119b11_30_73293249@N00.jpg,45.999982,7.298584
103465274_3e879729e0_33_73293249@N00.jpg,46.08035,7.209918
1034783376_9e3db4b81a_1016_70323761@N00.jpg,40.820751,-73.94892
103558896_55f8059bc9_35_73293249@N00.jpg,43.642423,-79.387153
103574519_62331b624f_24_73293249@N00.jpg,43.642423,-79.387153
103575522_cc6a522170_34_73293249@N00.jpg,43.642423,-79.387153
103577701_b68e15492e_32_73293249@N00.jpg,43.085294,-79.079509
103726410_49bcd2e470_33_73293249@N00.jpg,40.711492,-74.01206
1038069722_cab11140a5_1378_75452460@N00.jpg,48.214093,16.935553
103908913_8ef41889e3_36_11114422@N00.jpg,51.195697,-2.27992
103910409_51606239db_42_11114422@N00.jpg,51.195697,-2.27992
104122769_f122c548dc_40_19355699@N00.jpg,-16.663606,145.563537
1041241079_904c456418_1430_7132415@N03.jpg,-1.382083,-78.432769
104132709_97b998c989_41_19355699@N00.jpg,-33.861328,151.209039
104133298_2619fc0eae_39_19355699@N00.jpg,-33.861328,151.209039
1041333001_9b8e3dc4f1_1284_7132415@N03.jpg,-0.967437,-77.763977
104134249_80c92294db_19_19355699@N00.jpg,-33.861328,151.209039
104134428_244b67a2d9_38_19355699@N00.jpg,-33.861328,151.209039
104134591_85c54effac_41_19355699@N00.jpg,-33.861328,151.209039
104138228_eac9608bce_34_19355699@N00.jpg,-36.843876,174.7654
104146945_2722f724b3_19_14542551@N00.jpg,47.913695,106.833114
1044041591_512737f6a3_1182_9729483@N02.jpg,39.948972,-75.150008
104419192_8551684362_41_64825499@N00.jpg,51.508168,-0.076035
104419793_26fe6ba2a3_39_64825499@N00.jpg,51.508168,-0.076035
1051458737_dc88781e19_1257_50435419@N00.jpg,46.547586,-87.378902
1052934673_018d08d79c_1247_89904893@N00.jpg,51.210297,-2.643113
1054676623_3278c97053_1242_70323761@N00.jpg,40.763169,-73.945257
1055535547_d8ebd9b0ff_1005_52057668@N00.jpg,43.345154,11.293945
1055596489_76a46df552_1047_52057668@N00.jpg,43.345154,11.293945
1056311007_52319e8695_1127_9729483@N02.jpg,19.633291,-155.98991
1056987156_2fb85c8d9d_1152_9729483@N02.jpg,19.782928,-156.036463
1058450330_29b27f18cc_1304_52057668@N00.jpg,48.858842,2.329101
1061820145_989476e8d1_1056_17351226@N00.jpg,-0.331476,36.074466
1064247804_21a7ce7392_1272_73293249@N00.jpg,52.506442,13.337682
1065427105_186af84f48_1367_70323761@N00.jpg,41.935064,-74.018674
1066619342_4f62e58221_1239_70323761@N00.jpg,41.933021,-74.019286
1070752568_b1ed6014e4_1333_93455345@N00.jpg,50.252912,19.025573
1070839510_05f6cf6ef2_1162_93455345@N00.jpg,50.260814,18.846359
1070873718_eab41ad951_1427_93455345@N00.jpg,50.260814,18.846359
107184433_0e6c4969c5_35_96388182@N00.jpg,43.676314,-92.963894
1076964851_c20355b981_1431_93455345@N00.jpg,43.137069,131.929321
1076986527_4de9d086bc_1124_93455345@N00.jpg,43.137069,131.929321
1077074655_69c5dba648_1048_93455345@N00.jpg,52.045734,113.411865
1077086393_e1aea6d21e_1090_93455345@N00.jpg,52.32191,104.227294
1077155473_80c037f16a_1120_93455345@N00.jpg,51.733832,39.25415
107717568_95f67ce436_37_17351226@N00.jpg,59.929043,30.313854
1077208489_d307c44d40_1355_93455345@N00.jpg,43.137069,131.929321
107723582_6c02eba98c_44_17351226@N00.jpg,59.929043,30.313854
107723692_6abd246261_52_17351226@N00.jpg,59.929043,30.313854
107723908_e96144f997_56_17351226@N00.jpg,59.929043,30.313854
1077244783_6b676179aa_1032_93455345@N00.jpg,51.733832,39.25415
1077872058_04a9b36974_1148_93455345@N00.jpg,50.656425,27.160949
1077955412_5c254dabba_1246_93455345@N00.jpg,54.788017,55.964355
1079732334_0baae72c4f_1271_25159586@N00.jpg,34.902638,132.0891
108325116_1b1cd483cc_42_17351226@N00.jpg,60.389391,5.330429
108328982_9befccdd12_52_17351226@N00.jpg,60.389391,5.330429
108344521_b7f5d1ba86_37_17351226@N00.jpg,64.139968,-21.918754
1085645221_dad5caca79_1379_33463080@N00.jpg,13.732881,100.503273
1085889653_66207e5068_1416_33463080@N00.jpg,14.021187,99.527893
1086201488_cd08f71bb8_1056_33463080@N00.jpg,13.732881,100.503273
1086319092_34f919b886_1232_33463080@N00.jpg,13.732881,100.503273
1088267191_8f3a46f0c1_1142_15376845@N00.jpg,41.17567,-73.101063
1088326301_bba2b5385d_1408_15376845@N00.jpg,41.17567,-73.101063
109003732_1ac8be791c_40_18684820@N00.jpg,13.735383,100.500183
109040743_ad2fafd7e9_51_18684820@N00.jpg,16.056371,103.646392
109046783_1ec629777a_51_18684820@N00.jpg,16.056371,103.646392
109049475_c5794551d3_53_18684820@N00.jpg,16.056371,103.646392
109090818_b0c5177552_47_18684820@N00.jpg,17.400605,104.779701
1091261185_24d87262d8_1178_80333007@N00.jpg,43.54693,10.312557
109444677_b9311d353a_51_44972214@N00.jpg,32.759562,-117.180175
109444762_8b7eb2eff0_45_44972214@N00.jpg,32.759562,-117.180175
109445154_504554586a_56_44972214@N00.jpg,32.759562,-117.180175
