filename,latitude,longitude
104123223_7410c654ba_19_19355699@N00.jpg,-16.663606,145.563537
1095548455_f636d22cbb_1277_8576809@N08.jpg,31.893581,-85.141124
1185597181_0158ab4213_1311_43616936@N00.jpg,42.346571,-71.097228
1199004207_0ce4e7a456_1285_16418049@N00.jpg,37.090924,25.370521
1257001714_3453f5fc4b_1405_11490799@N08.jpg,55.485759,28.791046
195179890_dfc29db44a_70_73935513@N00.jpg,-25.499066,-54.621276
212568980_fb3a00288d_71_21844368@N00.jpg,12.974449,77.562789
222911552_50f2a18fde_66_56186870@N00.jpg,60.773746,-148.812046
243683202_38f0178ce4_88_11807142@N00.jpg,37.970117,23.720426
247766999_1de867ab93_96_94409333@N00.jpg,36.403107,-93.736736
251058170_ba714bfb50_87_67484939@N00.jpg,34.841334,-92.486429
254755691_b3bbae344e_95_79267922@N00.jpg,39.94133,116.383666
254762082_1a1b6d27d1_121_79267922@N00.jpg,39.94133,116.383666
257034510_2b7d64e610_118_26519935@N00.jpg,13.74989,100.494861
257176697_a302df7bec_86_41336221@N00.jpg,40.366689,49.835443
263896481_2f807d19ee_80_74806935@N00.jpg,37.318012,-121.950309
264192767_4809b75a21_117_35468147630@N01.jpg,42.36246,-71.084353
314328828_2b52ae145e_120_55852171@N00.jpg,39.996996,116.267988
315923188_366ee7e6cd_101_14491548@N00.jpg,51.054991,3.732089
317019036_3b57b5b2e9_104_56249023@N00.jpg,-47.031934,-67.259674
317024157_467511cd94_107_56249023@N00.jpg,-50.358604,-72.285575
317369069_16c7477d63_134_78221228@N00.jpg,-50.462312,-73.005523
336999316_7fda2b00b1_142_65367662@N00.jpg,39.44017,-120.23025
338553788_a32e785773_163_21535758@N00.jpg,34.987253,68.466796
338603422_520f0ce2ff_138_21535758@N00.jpg,36.884014,68.57666
339483173_e48ee06639_139_63163416@N00.jpg,31.213021,29.946069
340942713_d485388d6d_152_21341800@N00.jpg,36.765291,68.812866
348532716_5a2b306c86_136_98767940@N00.jpg,17.129307,-89.065818
363322243_42e6b4babe_100_26234358@N00.jpg,52.525047,13.366949
379263811_e4d22a1ba5_136_59615371@N00.jpg,34.051166,-84.285993
391838246_31758bc752_139_94949650@N00.jpg,49.341342,-123.01546
392982444_442d787db5_143_65412829@N00.jpg,39.935276,32.852725
421350511_ee899b609d_129_85417391@N00.jpg,32.242796,-111.167714
425432303_c817c468e3_166_14882112@N00.jpg,41.371961,2.166323
427188519_bcf177e48b_146_84752760@N00.jpg,41.401149,2.163276
429777514_e0ba93984e_169_89418754@N00.jpg,41.403491,2.174423
429881745_35a951f032_187_37718182@N00.jpg,41.387627,2.188044
432236572_f2da926f89_166_75452460@N00.jpg,47.298266,13.686389
